AL, 04, 2014082318,   , BEST,   0, 215N,  722W,  30, 1005, TD,  34, NEQ,    0,    0,    0,    0, 1009,  120,  40,  40,   0,   L,   0,    ,   0,   0,       FOUR, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, alA62014 to al042014
AL, 04, 2014082400,   , BEST,   0, 220N,  725W,  30, 1004, TD,  34, NEQ,    0,    0,    0,    0, 1009,  120,  50,  40,   0,   L,   0,    ,   0,   0,       FOUR, M, 
AL, 04, 2014082406,   , BEST,   0, 226N,  729W,  35, 1002, TS,  34, NEQ,   60,   60,    0,    0, 1008,  200,  50,  40,   0,   L,   0,    ,   0,   0,       FOUR, M, 
AL, 04, 2014082412,   , BEST,   0, 233N,  730W,  40, 1001, TS,  34, NEQ,   60,   70,    0,    0, 1008,  200,  40,  50,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 
AL, 04, 2014082418,   , BEST,   0, 240N,  730W,  45, 1001, TS,  34, NEQ,   60,   70,    0,    0, 1008,  200,  40,  50,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,   60,   60,   20,   30, 
AL, 04, 2014082606,   , BEST,   0, 256N,  720W,  65,  989, HU,  50, NEQ,   50,   90,    0,    0, 1007,  250,  40,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  180,  210,   30,   60, 
AL, 04, 2014082606,   , BEST,   0, 256N,  720W,  65,  989, HU,  64, NEQ,   25,   40,    0,    0, 1007,  250,  40,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  180,  210,   30,   60, 
AL, 04, 2014082612,   , BEST,   0, 267N,  718W,  65,  988, HU,  34, NEQ,   80,  180,   60,   30, 1007,  250,  40,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  210,  210,   60,   90, 
AL, 04, 2014082612,   , BEST,   0, 267N,  718W,  65,  988, HU,  50, NEQ,   50,   90,    0,    0, 1007,  250,  40,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  210,  210,   60,   90, 
AL, 04, 2014082612,   , BEST,   0, 267N,  718W,  65,  988, HU,  64, NEQ,   25,   40,    0,    0, 1007,  250,  40,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  210,  210,   60,   90, 
AL, 04, 2014082618,   , BEST,   0, 281N,  714W,  65,  987, HU,  34, NEQ,  180,  210,   60,   60, 1007,  210,  50,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  300,  300,   60,  180, 
AL, 04, 2014082618,   , BEST,   0, 281N,  714W,  65,  987, HU,  50, NEQ,   50,  120,    0,    0, 1007,  210,  50,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  300,  300,   60,  180, 
AL, 04, 2014082618,   , BEST,   0, 281N,  714W,  65,  987, HU,  64, NEQ,   25,   50,    0,    0, 1007,  210,  50,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  300,  300,   60,  180, 
AL, 04, 2014082700,   , BEST,   0, 295N,  715W,  70,  983, HU,  34, NEQ,  180,  210,   60,  100, 1008,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  300,  120,  240, 
AL, 04, 2014082700,   , BEST,   0, 295N,  715W,  70,  983, HU,  50, NEQ,   90,  120,   20,   20, 1008,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  300,  120,  240, 
AL, 04, 2014082700,   , BEST,   0, 295N,  715W,  70,  983, HU,  64, NEQ,   50,   50,   10,    0, 1008,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  300,  120,  240, 
AL, 04, 2014082706,   , BEST,   0, 306N,  720W,  70,  983, HU,  34, NEQ,  180,  180,   60,  100, 1008,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  300,  180,  240, 
AL, 04, 2014082706,   , BEST,   0, 306N,  720W,  70,  983, HU,  50, NEQ,   90,  100,   20,   20, 1008,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  300,  180,  240, 
AL, 04, 2014082706,   , BEST,   0, 306N,  720W,  70,  983, HU,  64, NEQ,   50,   50,   10,    0, 1008,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  300,  180,  240, 
AL, 04, 2014082712,   , BEST,   0, 316N,  722W,  70,  983, HU,  34, NEQ,  180,  180,   60,  100, 1009,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  180,  210, 
AL, 04, 2014082712,   , BEST,   0, 316N,  722W,  70,  983, HU,  50, NEQ,   90,  100,   20,   20, 1009,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  180,  210, 
AL, 04, 2014082712,   , BEST,   0, 316N,  722W,  70,  983, HU,  64, NEQ,   50,   50,   10,    0, 1009,  200,  35,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  180,  210, 
AL, 04, 2014082718,   , BEST,   0, 323N,  718W,  65,  984, HU,  34, NEQ,  180,  180,   60,   70, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  190,  220, 
AL, 04, 2014082718,   , BEST,   0, 323N,  718W,  65,  984, HU,  50, NEQ,   90,  100,   30,   30, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  190,  220, 
AL, 04, 2014082718,   , BEST,   0, 323N,  718W,  65,  984, HU,  64, NEQ,   40,   50,   20,   20, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  190,  220, 
AL, 04, 2014082800,   , BEST,   0, 335N,  707W,  65,  984, HU,  34, NEQ,  180,  180,   60,   70, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  190,  220, 
AL, 04, 2014082800,   , BEST,   0, 335N,  707W,  65,  984, HU,  50, NEQ,   90,  100,   30,   30, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  190,  220, 
AL, 04, 2014082800,   , BEST,   0, 335N,  707W,  65,  984, HU,  64, NEQ,   40,   50,   20,   20, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  360,  190,  220, 
AL, 04, 2014082806,   , BEST,   0, 348N,  690W,  65,  982, HU,  34, NEQ,  180,  180,   60,   70, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  330,  190,  220, 
AL, 04, 2014082806,   , BEST,   0, 348N,  690W,  65,  982, HU,  50, NEQ,   90,  100,   30,   30, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  330,  190,  220, 
AL, 04, 2014082806,   , BEST,   0, 348N,  690W,  65,  982, HU,  64, NEQ,   40,   50,   20,   20, 1010,  210,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  300,  330,  190,  220, 
AL, 04, 2014082812,   , BEST,   0, 363N,  671W,  70,  979, HU,  34, NEQ,  180,  180,   60,   70, 1006,  200,  30,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  280,  300,  190,  200, 
AL, 04, 2014082812,   , BEST,   0, 363N,  671W,  70,  979, HU,  50, NEQ,   90,  100,   30,   30, 1006,  200,  30,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  280,  300,  190,  200, 
AL, 04, 2014082812,   , BEST,   0, 363N,  671W,  70,  979, HU,  64, NEQ,   40,   50,   20,   20, 1006,  200,  30,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  280,  300,  190,  200, 
AL, 04, 2014082818,   , BEST,   0, 375N,  636W,  75,  971, HU,  34, NEQ,  180,  220,  110,   60, 1004,  150,  30,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  240,  300,  300,  220, 
AL, 04, 2014082818,   , BEST,   0, 375N,  636W,  75,  971, HU,  50, NEQ,   90,  100,   40,   30, 1004,  150,  30,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  240,  300,  300,  220, 
AL, 04, 2014082818,   , BEST,   0, 375N,  636W,  75,  971, HU,  64, NEQ,   30,   50,   20,   20, 1004,  150,  30,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  240,  300,  300,  220, 
AL, 04, 2014082900,   , BEST,   0, 391N,  588W,  75,  965, HU,  34, NEQ,  180,  220,  220,   60, 1005,  200,  50,  90,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  240,  320,  300,  200, 
AL, 04, 2014082900,   , BEST,   0, 391N,  588W,  75,  965, HU,  50, NEQ,   90,  100,   80,   40, 1005,  200,  50,  90,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  240,  320,  300,  200, 
AL, 04, 2014082900,   , BEST,   0, 391N,  588W,  75,  965, HU,  64, NEQ,   30,   60,   20,   20, 1005,  200,  50,  90,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  240,  320,  300,  200, 
AL, 04, 2014082906,   , BEST,   0, 412N,  539W,  70,  967, HU,  34, NEQ,  190,  240,  220,   70, 1005,  200,  50,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,   70,  280,  360,  390, 
AL, 04, 2014082906,   , BEST,   0, 412N,  539W,  70,  967, HU,  50, NEQ,   90,  120,   80,   40, 1005,  200,  50,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,   70,  280,  360,  390, 
AL, 04, 2014082906,   , BEST,   0, 412N,  539W,  70,  967, HU,  64, NEQ,   40,   60,   30,    0, 1005,  200,  50,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,   70,  280,  360,  390, 
AL, 04, 2014082912,   , BEST,   0, 442N,  490W,  65,  970, EX,  34, NEQ,  200,  270,  220,  180, 1006,  400,  70,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  100,  260,  660,  480, 
AL, 04, 2014082912,   , BEST,   0, 442N,  490W,  65,  970, EX,  50, NEQ,  100,  140,  100,   70, 1006,  400,  70,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  100,  260,  660,  480, 
AL, 04, 2014082912,   , BEST,   0, 442N,  490W,  65,  970, EX,  64, NEQ,   50,   70,   40,    0, 1006,  400,  70,  85,   0,   L,   0,    ,   0,   0,  CRISTOBAL, D, 12, NEQ,  100,  260,  660,  480, 
AL, 04, 2014082918,   , BEST,   0, 467N,  459W,  65,  972, EX,  34, NEQ,  200,  270,  240,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014082918,   , BEST,   0, 467N,  459W,  65,  972, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014082918,   , BEST,   0, 467N,  459W,  65,  972, EX,  64, NEQ,   50,   70,   40,    0,    0,    0,  70,   0,   0, 
AL, 04, 2014083000,   , BEST,   0, 486N,  428W,  65,  974, EX,  34, NEQ,  200,  270,  270,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083000,   , BEST,   0, 486N,  428W,  65,  974, EX,  50, NEQ,  100,  140,  110,  100,    0,    0,  70,   0,   0, 
AL, 04, 2014083000,   , BEST,   0, 486N,  428W,  65,  974, EX,  64, NEQ,   50,   70,   40,    0,    0,    0,  70,   0,   0, 
AL, 04, 2014083006,   , BEST,   0, 499N,  395W,  65,  974, EX,  34, NEQ,  200,  270,  270,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083006,   , BEST,   0, 499N,  395W,  65,  974, EX,  50, NEQ,  100,  140,  110,  100,    0,    0,  70,   0,   0, 
AL, 04, 2014083006,   , BEST,   0, 499N,  395W,  65,  974, EX,  64, NEQ,   50,   70,   40,    0,    0,    0,  70,   0,   0, 
AL, 04, 2014083012,   , BEST,   0, 513N,  362W,  60,  971, EX,  34, NEQ,  200,  300,  360,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083012,   , BEST,   0, 513N,  362W,  60,  971, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014083018,   , BEST,   0, 540N,  320W,  60,  971, EX,  34, NEQ,  240,  300,  360,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083018,   , BEST,   0, 540N,  320W,  60,  971, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014083100,   , BEST,   0, 580N,  289W,  60,  971, EX,  34, NEQ,  240,  300,  360,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083100,   , BEST,   0, 580N,  289W,  60,  971, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014083106,   , BEST,   0, 610N,  270W,  60,  963, EX,  34, NEQ,  200,  270,  240,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083106,   , BEST,   0, 610N,  270W,  60,  963, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014083112,   , BEST,   0, 620N,  260W,  60,  964, EX,  34, NEQ,  200,  270,  240,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083112,   , BEST,   0, 620N,  260W,  60,  964, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014083118,   , BEST,   0, 630N,  245W,  55,  968, EX,  34, NEQ,  200,  270,  240,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014083118,   , BEST,   0, 630N,  245W,  55,  968, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014090100,   , BEST,   0, 640N,  220W,  50,  974, EX,  34, NEQ,  200,  270,  240,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014090100,   , BEST,   0, 640N,  220W,  50,  974, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014090106,   , BEST,   0, 650N,  195W,  50,  978, EX,  34, NEQ,  200,  270,  240,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014090106,   , BEST,   0, 650N,  195W,  50,  978, EX,  50, NEQ,  100,  140,  100,   80,    0,    0,  70,   0,   0, 
AL, 04, 2014090112,   , BEST,   0, 660N,  170W,  45,  980, EX,  34, NEQ,    0,  200,  200,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014090118,   , BEST,   0, 670N,  154W,  45,  982, EX,  34, NEQ,    0,  200,  200,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014090200,   , BEST,   0, 680N,  150W,  40,  984, EX,  34, NEQ,    0,  200,  200,  200,    0,    0,  70,   0,   0, 
AL, 04, 2014090206,   , BEST,   0, 690N,  150W,  35,  985, EX,  34, NEQ,    0,  200,  200,  200,    0,    0,  70,   0,   0, 
