AL, 50, 2014051212,   , BEST,   0, 192N,  568W,  30, 1009, TD,   0,    ,    0,    0,    0,    0, 
AL, 50, 2014051606,   , BEST,   0, 229N,  728W, 125,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051606,   , BEST,   0, 229N,  728W, 125,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051606,   , BEST,   0, 229N,  728W, 125,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051612,   , BEST,   0, 230N,  735W, 125,  951, HU,  34, NEQ,  170,  160,  120,  160, 1010,  150,   0, 150,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051612,   , BEST,   0, 230N,  735W, 125,  951, HU,  50, NEQ,  120,  120,   80,  100, 1010,  150,   0, 150,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051612,   , BEST,   0, 230N,  735W, 125,  951, HU,  64, NEQ,   60,   60,   40,   50, 1010,  150,   0, 150,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051618,   , BEST,   0, 231N,  741W, 130,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051618,   , BEST,   0, 231N,  741W, 130,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051618,   , BEST,   0, 231N,  741W, 130,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051700,   , BEST,   0, 233N,  750W, 130,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051700,   , BEST,   0, 233N,  750W, 130,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051700,   , BEST,   0, 233N,  750W, 130,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051706,   , BEST,   0, 234N,  757W, 130,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051706,   , BEST,   0, 234N,  757W, 130,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051706,   , BEST,   0, 234N,  757W, 130,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051712,   , BEST,   0, 235N,  764W, 130,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051712,   , BEST,   0, 235N,  764W, 130,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051712,   , BEST,   0, 235N,  764W, 130,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051718,   , BEST,   0, 236N,  772W, 130,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051718,   , BEST,   0, 236N,  772W, 130,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051718,   , BEST,   0, 236N,  772W, 130,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051800,   , BEST,   0, 237N,  780W, 115,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051800,   , BEST,   0, 237N,  780W, 115,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051800,   , BEST,   0, 237N,  780W, 115,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051806,   , BEST,   0, 238N,  787W, 115,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051806,   , BEST,   0, 238N,  787W, 115,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051806,   , BEST,   0, 238N,  787W, 115,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051812,   , BEST,   0, 239N,  794W, 115,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051812,   , BEST,   0, 239N,  794W, 115,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051812,   , BEST,   0, 239N,  794W, 115,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051818,   , BEST,   0, 241N,  802W, 115,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051818,   , BEST,   0, 241N,  802W, 115,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051818,   , BEST,   0, 241N,  802W, 115,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051900,   , BEST,   0, 244N,  809W, 115,  951, HU,  34, NEQ,  170,  160,  120,  160, 
AL, 50, 2014051900,   , BEST,   0, 244N,  809W, 115,  951, HU,  50, NEQ,  120,  120,   80,  100, 
AL, 50, 2014051900,   , BEST,   0, 244N,  809W, 115,  951, HU,  64, NEQ,   60,   60,   40,   50, 
AL, 50, 2014051906,   , BEST,   0, 248N,  815W, 120,  965, HU,  34, NEQ,  200,  200,  120,  200, 1010,  150,   0, 145,  15,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051906,   , BEST,   0, 248N,  815W, 120,  965, HU,  50, NEQ,  130,  120,   80,  130, 1010,  150,   0, 145,  15,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051906,   , BEST,   0, 248N,  815W, 120,  965, HU,  64, NEQ,   80,   80,   40,   70, 1010,  150,   0, 145,  15,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051912,   , BEST,   0, 253N,  818W, 110,  965, HU,  34, NEQ,  200,  200,  120,  200, 
AL, 50, 2014051912,   , BEST,   0, 253N,  818W, 110,  965, HU,  50, NEQ,  130,  120,   80,  130, 
AL, 50, 2014051912,   , BEST,   0, 253N,  818W, 110,  965, HU,  64, NEQ,   80,   80,   40,   70, 
AL, 50, 2014051918,   , BEST,   0, 259N,  821W, 105,  971, HU,  34, NEQ,  170,  170,  100,  150, 1010,  150,   0, 130,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051918,   , BEST,   0, 259N,  821W, 105,  971, HU,  50, NEQ,  120,  120,   60,  100, 1010,  150,   0, 130,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014051918,   , BEST,   0, 259N,  821W, 105,  971, HU,  64, NEQ,   60,   60,   30,   50, 1010,  150,   0, 130,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014052000,   , BEST,   0, 266N,  822W, 100,  973, HU,  34, NEQ,  170,  170,  100,  150, 
AL, 50, 2014052000,   , BEST,   0, 266N,  822W, 100,  973, HU,  50, NEQ,  110,  110,   60,  100, 
AL, 50, 2014052000,   , BEST,   0, 266N,  822W, 100,  973, HU,  64, NEQ,   60,   60,   30,   50, 
AL, 50, 2014052006,   , BEST,   0, 271N,  822W,  85,  974, HU,  34, NEQ,  160,  160,  100,  150, 1010,  150,   0, 105,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014052006,   , BEST,   0, 271N,  822W,  85,  974, HU,  50, NEQ,  100,  100,   60,   90, 1010,  150,   0, 105,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014052006,   , BEST,   0, 271N,  822W,  85,  974, HU,  64, NEQ,   50,   50,   30,   50, 1010,  150,   0, 105,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014052012,   , BEST,   0, 276N,  822W,  75,  979, HU,  34, NEQ,  160,  150,  100,  150, 1010,  150,   0,  90,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014052012,   , BEST,   0, 276N,  822W,  75,  979, HU,  50, NEQ,   90,   90,   50,   80, 1010,  150,   0,  90,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
AL, 50, 2014052012,   , BEST,   0, 276N,  822W,  75,  979, HU,  64, NEQ,   40,   40,   20,   40, 1010,  150,   0,  90,   0,   L,   0,    ,   0,   0,    SIMPSON, S, 
