WP, 24, 2016101306,   , BEST,   0, 134N, 1300E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1006,  215,  40,   0,   0,   W,   0,    ,   0,   0, TWENTYFOUR, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF32016,  to wp242016,                                                                                                                                                                                       
WP, 24, 2016101312,   , BEST,   0, 140N, 1292E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  230,  35,   0,   0,   W,   0,    ,   0,   0, TWENTYFOUR, M,  
WP, 24, 2016101500,   , BEST,   0, 143N, 1246E,  80,  974, HU,  50, NEQ,   69,   56,   56,   69, 1006,  205,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101500,   , BEST,   0, 143N, 1246E,  80,  974, HU,  64, NEQ,   36,   29,   29,   36, 1006,  205,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101506,   , BEST,   0, 148N, 1238E,  90,  954, HU,  34, NEQ,  130,  110,  110,  130, 1006,  205,  12,   0,  15,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101506,   , BEST,   0, 148N, 1238E,  90,  954, HU,  50, NEQ,   69,   57,   57,   69, 1006,  205,  12,   0,  15,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101506,   , BEST,   0, 148N, 1238E,  90,  954, HU,  64, NEQ,   37,   30,   30,   37, 1006,  205,  12,   0,  15,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101512,   , BEST,   0, 152N, 1230E, 105,  944, HU,  34, NEQ,  140,  110,  110,  140, 1002,  180,  10,   0,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101512,   , BEST,   0, 152N, 1230E, 105,  944, HU,  50, NEQ,   76,   58,   58,   76, 1002,  180,  10,   0,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101512,   , BEST,   0, 152N, 1230E, 105,  944, HU,  64, NEQ,   41,   30,   30,   41, 1002,  180,  10,   0,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101518,   , BEST,   0, 158N, 1217E, 115,  945, HU,  34, NEQ,  150,  110,  110,  150, 1005,  180,  10, 140,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101518,   , BEST,   0, 158N, 1217E, 115,  945, HU,  50, NEQ,   83,   58,   58,   83, 1005,  180,  10, 140,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101518,   , BEST,   0, 158N, 1217E, 115,  945, HU,  64, NEQ,   45,   31,   31,   45, 1005,  180,  10, 140,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101600,   , BEST,   0, 164N, 1200E,  75,  967, HU,  34, NEQ,  160,  110,  120,  170, 1004,  180,  10,   0,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101600,   , BEST,   0, 164N, 1200E,  75,  967, HU,  50, NEQ,   88,   56,   62,   94, 1004,  180,  10,   0,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101600,   , BEST,   0, 164N, 1200E,  75,  967, HU,  64, NEQ,   47,   29,   33,   50, 1004,  180,  10,   0,  10,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101606,   , BEST,   0, 164N, 1182E,  80,  963, HU,  34, NEQ,  170,  130,  130,  170, 1004,  215,  10,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101606,   , BEST,   0, 164N, 1182E,  80,  963, HU,  50, NEQ,   94,   69,   69,   94, 1004,  215,  10,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101606,   , BEST,   0, 164N, 1182E,  80,  963, HU,  64, NEQ,   50,   36,   36,   50, 1004,  215,  10,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101612,   , BEST,   0, 165N, 1172E,  80,  965, HU,  34, NEQ,  200,  130,  150,  180, 1004,  215,  10,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101612,   , BEST,   0, 165N, 1172E,  80,  965, HU,  50, NEQ,  113,   69,   81,  100, 1004,  215,  10,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101612,   , BEST,   0, 165N, 1172E,  80,  965, HU,  64, NEQ,   61,   36,   43,   54, 1004,  215,  10,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101618,   , BEST,   0, 168N, 1155E,  75,  967, HU,  34, NEQ,  210,  140,  180,  180, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101618,   , BEST,   0, 168N, 1155E,  75,  967, HU,  50, NEQ,  119,   75,  100,  100, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101618,   , BEST,   0, 168N, 1155E,  75,  967, HU,  64, NEQ,   64,   40,   54,   54, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101700,   , BEST,   0, 171N, 1142E,  75,  967, HU,  34, NEQ,  220,  140,  180,  190, 1004,  185,  20, 100,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101700,   , BEST,   0, 171N, 1142E,  75,  967, HU,  50, NEQ,  125,   75,  100,  106, 1004,  185,  20, 100,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101700,   , BEST,   0, 171N, 1142E,  75,  967, HU,  64, NEQ,   68,   40,   54,   57, 1004,  185,  20, 100,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101706,   , BEST,   0, 174N, 1133E,  75,  967, HU,  34, NEQ,  230,  140,  190,  200, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101706,   , BEST,   0, 174N, 1133E,  75,  967, HU,  50, NEQ,  132,   75,  106,  113, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101706,   , BEST,   0, 174N, 1133E,  75,  967, HU,  64, NEQ,   71,   40,   57,   61, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101712,   , BEST,   0, 176N, 1126E,  75,  967, HU,  34, NEQ,  240,  140,  190,  220, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101712,   , BEST,   0, 176N, 1126E,  75,  967, HU,  50, NEQ,  138,   75,  106,  125, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101712,   , BEST,   0, 176N, 1126E,  75,  967, HU,  64, NEQ,   75,   40,   57,   68, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101718,   , BEST,   0, 181N, 1115E,  75,  967, HU,  34, NEQ,  220,  140,  160,  200, 1004,  185,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101718,   , BEST,   0, 181N, 1115E,  75,  967, HU,  50, NEQ,  125,   75,   88,  113, 1004,  185,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101718,   , BEST,   0, 181N, 1115E,  75,  967, HU,  64, NEQ,   68,   40,   47,   61, 1004,  185,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101800,   , BEST,   0, 187N, 1107E,  75,  967, HU,  34, NEQ,  200,  160,  120,  180, 1005,  205,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101800,   , BEST,   0, 187N, 1107E,  75,  967, HU,  50, NEQ,  113,   88,   62,  100, 1005,  205,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101800,   , BEST,   0, 187N, 1107E,  75,  967, HU,  64, NEQ,   61,   47,   33,   54, 1005,  205,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101806,   , BEST,   0, 192N, 1099E,  65,  974, HU,  34, NEQ,  170,  110,  130,  170, 1003,  190,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101806,   , BEST,   0, 192N, 1099E,  65,  974, HU,  50, NEQ,   93,   55,   68,   93, 1003,  190,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101806,   , BEST,   0, 192N, 1099E,  65,  974, HU,  64, NEQ,   50,   29,   36,   50, 1003,  190,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101812,   , BEST,   0, 197N, 1094E,  55,  987, TS,  34, NEQ,  120,   90,   90,  120, 1004,  190,  30,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101812,   , BEST,   0, 197N, 1094E,  55,  987, TS,  50, NEQ,   61,   42,   42,   61, 1004,  190,  30,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101818,   , BEST,   0, 201N, 1090E,  40,  993, TS,  34, NEQ,  110,   80,   80,  110, 1006,  185,  35,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101900,   , BEST,   0, 209N, 1085E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  185,  35,  45,   0,    ,   0,    ,   0,   0,     SARIKA,  ,  
WP, 24, 2016101906,   , BEST,   0, 220N, 1080E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1006,  185,  40,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
