WP, 02, 2019021906,   , BEST,   0, 043N, 1581E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  45,   0,   0,   W,   0,   X, 270,  13,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022618,   , BEST,   0, 156N, 1401E,  95,  956, XX,  34, NEQ,  120,  110,   80,   95, 1008,  170,  15,   0,   0,   W,   0,   X,  15,   2,      WUTIP, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022700,   , BEST,   0, 157N, 1401E,  90,  958, XX,  34, NEQ,  100,   95,   75,   85, 1008,  170,  10,   0,   0,   W,   0,   X,  20,   2,      WUTIP, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022706,   , BEST,   0, 162N, 1399E,  80,  976, XX,  34, NEQ,   95,   85,   65,   80, 1009,  170,  25,   0,   0,   W,   0,   X, 355,   3,      WUTIP, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022712,   , BEST,   0, 165N, 1395E,  70,  984, XX,  34, NEQ,   80,   70,   55,   80, 1009,  160,  15,   0,   0,   W,   0,   X, 330,   4,      WUTIP, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022718,   , BEST,   0, 167N, 1377E,  40, 1001, XX,  34, NEQ,   80,  120,   15,   70, 1008,  140,  40,   0,   0,   W,   0,   X, 295,   8,      WUTIP, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022800,   , BEST,   0, 171N, 1367E,  35,  997, XX,  34, NEQ,  115,   90,   60,   85, 1010,  125,  40,   0,   0,   W,   0,   X, 285,  11,      WUTIP, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022806,   , BEST,   0, 176N, 1356E,  35, 1005, XX,  34, NEQ,   90,   85,   75,   85, 1010,  140,  50,   0,   0,   W,   0,   X, 290,  12,      WUTIP, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022812,   , BEST,   0, 182N, 1349E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,  140,  50,   0,   0,   W,   0,   X, 300,  10,      WUTIP, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019022818,   , BEST,   0, 186N, 1347E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1011,  125,  50,   0,   0,   W,   0,   X, 310,   8,      WUTIP, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
WP, 02, 2019030100,   , BEST,   0, 189N, 1344E,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1013,  125,  50,   0,   0,   W,   0,   X, 320,   6,      WUTIP, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022019, JTWC, NCEP_TCVITALS, 
