SH, 18, 2017050218,   , BEST,   0, 130S, 1719E,  35,  998, XX,  34, NEQ,   25,   20,   40,   10, 1009,  200,  30,   0,   0,   P,   0,   X, 100,   4,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050718,   , BEST,   0, 165S, 1648E, 120,  939, XX,  34, NEQ,  145,  180,  160,  140, 1006,  210,  17,   0,   0,   P,   0,   X, 170,   9,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050800,   , BEST,   0, 169S, 1648E, 115,  946, XX,  34, NEQ,  140,  180,  160,  110, 1008,  210,  20,   0,   0,   P,   0,   X, 175,   8,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050806,   , BEST,   0, 175S, 1651E, 120,  940, XX,  34, NEQ,  140,  180,  160,  110, 1008,  210,  15,   0,   0,   P,   0,   X, 170,   7,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050812,   , BEST,   0, 180S, 1657E, 105,  954, XX,  34, NEQ,  140,  180,  160,  110, 1008,  210,  15,   0,   0,   P,   0,   X, 150,   6,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050818,   , BEST,   0, 187S, 1661E, 100,  948, XX,  34, NEQ,  130,  175,  150,  105, 1009,  210,  15,   0,   0,   P,   0,   X, 145,   7,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050900,   , BEST,   0, 195S, 1666E,  95,  964, XX,  34, NEQ,  130,  175,  150,  105, 1009,  210,  15,   0,   0,   P,   0,   X, 145,   8,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050906,   , BEST,   0, 201S, 1673E,  90,  969, XX,  34, NEQ,  130,  175,  150,  105, 1010,  185,  15,   0,   0,   P,   0,   X, 145,   9,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050912,   , BEST,   0, 208S, 1679E,  80,  976, XX,  34, NEQ,  130,  175,  150,  105, 1010,  175,  25,   0,   0,   P,   0,   X, 140,   9,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017050918,   , BEST,   0, 211S, 1668E,  60,  978, XX,  34, NEQ,  130,  160,  135,  105, 1010,  160,  25,   0,   0,   P,   0,   X, 175,   5,      DONNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017051000,   , BEST,   0, 214S, 1679E,  40, 1001, XX,  34, NEQ,  110,  145,  120,   95, 1011,  155,  30,   0,   0,   P,   0,   X, 145,   6,      DONNA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
SH, 18, 2017051006,   , BEST,   0, 229S, 1680E,  35, 1000, XX,  34, NEQ,  110,  145,  120,   95, 1010,  155,  40,   0,   0,   P,   0,   X, 150,   9,      DONNA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH182017, JTWC, NCEP_TCVITALS, 
