WP, 15, 2019090200,   , BEST,   0, 154N, 1258E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  140,  70,   0,   0,   W,   0,   X, 325,  16,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090418,   , BEST,   0, 235N, 1254E,  90,  958, XX,  34, NEQ,  140,  140,  135,  120, 1005,  170,  12,   0,   0,   W,   0,   X,  30,   5,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090500,   , BEST,   0, 241N, 1254E, 115,  930, XX,  34, NEQ,  150,  165,  120,  120, 1003,  165,  12,   0,   0,   W,   0,   X,  10,   5,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090506,   , BEST,   0, 250N, 1253E, 115,  934, XX,  34, NEQ,  155,  170,  125,  115, 1002,  190,  15,   0,   0,   W,   0,   X, 355,   7,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090512,   , BEST,   0, 257N, 1253E, 115,  935, XX,  34, NEQ,  135,  140,  100,  105, 1002,  185,  15,   0,   0,   W,   0,   X,    ,   7,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090518,   , BEST,   0, 268N, 1252E, 120,  928, XX,  34, NEQ,  150,  140,  135,  140, 1003,  185,  15,   0,   0,   W,   0,   X, 355,   9,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090600,   , BEST,   0, 281N, 1251E, 120,  933, XX,  34, NEQ,  180,  185,  140,  145, 1002,  200,  20,   0,   0,   W,   0,   X, 355,  10,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090606,   , BEST,   0, 296N, 1253E, 110,  936, XX,  34, NEQ,  170,  150,  140,  100,  999,  195,   5,   0,   0,   W,   0,   X,    ,  13,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090612,   , BEST,   0, 312N, 1250E, 100,  946, XX,  34, NEQ,  175,  155,  135,  110, 1001,  205,  10,   0,   0,   W,   0,   X,    ,  14,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090618,   , BEST,   0, 337N, 1249E,  90,  951, XX,  34, NEQ,  180,  160,  190,  140, 1000,  220,  15,   0,   0,   W,   0,   X,    ,  19,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090700,   , BEST,   0, 360N, 1250E,  75,  963, XX,  34, NEQ,  205,  225,  135,  155, 1002,  225,  15,   0,   0,   W,   0,   X,    ,  21,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090706,   , BEST,   0, 379N, 1253E,  65,  969, XX,  34, NEQ,  155,  195,  135,  155, 1001,  210,  20,   0,   0,   W,   0,   X,    ,  22,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090712,   , BEST,   0, 406N, 1261E,  55,  974, XX,  34, NEQ,  205,  220,  120,  120, 1001,  210,  20,   0,   0,   W,   0,   X,  10,  25,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
