SH, 17, 2019030206,   , BEST,   0, 121S, 0751E,  40,  996, XX,  34, NEQ,  105,  190,  140,   70, 1006,  190,  25,   0,   0,   S,   0,   X, 215,   7,      HALEH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030706,   , BEST,   0, 262S, 0677E,  65,  974, XX,  34, NEQ,  180,  220,  205,  125, 1005,  200,  30,   0,   0,   S,   0,   X, 205,  10,      HALEH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030712,   , BEST,   0, 271S, 0673E,  60,  975, XX,  34, NEQ,  185,  210,  180,  115, 1003,  200,  30,   0,   0,   S,   0,   X, 200,  10,      HALEH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030718,   , BEST,   0, 282S, 0670E,  50,  983, XX,  34, NEQ,  160,  250,  225,  110, 1006,  230,  40,   0,   0,   S,   0,   X, 195,  11,      HALEH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030800,   , BEST,   0, 296S, 0662E,  40,  988, XX,  34, NEQ,  160,  225,  215,  115, 1005,  220,  40,   0,   0,   S,   0,   X, 200,  13,      HALEH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030806,   , BEST,   0, 310S, 0660E,  45,  986, XX,  34, NEQ,  165,  230,  210,  110, 1006,  205,  80,   0,   0,   S,   0,   X, 195,  14,      HALEH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030812,   , BEST,   0, 322S, 0656E,  40,  988, XX,  34, NEQ,  160,  235,  200,  105, 1006,  215,  80,   0,   0,   S,   0,   X, 195,  14,      HALEH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030818,   , BEST,   0, 336S, 0653E,  40,  993, XX,  34, NEQ,  200,  245,  175,  110, 1006,  220,  90,   0,   0,   S,   0,   X, 190,  14,      HALEH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030900,   , BEST,   0, 353S, 0650E,  35,  996, XX,  34, NEQ,  175,  235,  175,  135, 1008,  230,  90,   0,   0,   S,   0,   X, 190,  15,      HALEH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030906,   , BEST,   0, 363S, 0650E,  35,  990, XX,  34, NEQ,  170,  185,  175,    0, 1008,  230,  90,   0,   0,   S,   0,   X, 185,  14,      HALEH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
SH, 17, 2019030912,   , BEST,   0, 377S, 0661E,  35,  992, XX,  34, NEQ,  170,  170,  130,  130, 1008,  230,  90,   0,   0,   S,   0,   X, 170,  14,      HALEH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172019, JTWC, NCEP_TCVITALS, 
