WP, 26, 2018090700,   , BEST,   0, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091200,   , BEST,   0, 139N, 1362E, 140,  916, XX,  34, NEQ,  200,  155,  135,  185, 1004,  205,  17,   0,   0,   W,   0,   X, 270,  12,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091206,   , BEST,   0, 140N, 1352E, 150,  911, XX,  34, NEQ,  240,  165,  160,  230, 1004,  190,  20,   0,   0,   W,   0,   X, 275,  11,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091212,   , BEST,   0, 142N, 1340E, 150,  911, XX,  34, NEQ,  225,  190,  165,  210, 1004,  200,  20,   0,   0,   W,   0,   X, 275,  11,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091218,   , BEST,   0, 143N, 1325E, 155,  898, XX,  34, NEQ,  195,  120,  125,  135, 1002,  220,  17,   0,   0,   W,   0,   X, 275,  12,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091300,   , BEST,   0, 145N, 1312E, 145,  908, XX,  34, NEQ,  200,  165,  160,  190, 1002,  220,  17,   0,   0,   W,   0,   X, 280,  13,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091306,   , BEST,   0, 147N, 1301E, 145,  906, XX,  34, NEQ,  240,  225,  190,  220, 1002,  220,  17,   0,   0,   W,   0,   X, 280,  13,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091312,   , BEST,   0, 150N, 1290E, 145,  907, XX,  34, NEQ,  240,  220,  190,  215, 1003,  230,  17,   0,   0,   W,   0,   X, 280,  12,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091318,   , BEST,   0, 152N, 1279E, 150,  903, XX,  34, NEQ,  200,  200,  155,  170, 1003,  230,  22,   0,   0,   W,   0,   X, 285,  11,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091400,   , BEST,   0, 159N, 1269E, 150,  900, XX,  34, NEQ,  230,  190,  200,  230, 1002,  230,  22,   0,   0,   W,   0,   X, 290,  11,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091406,   , BEST,   0, 168N, 1256E, 145,  904, XX,  34, NEQ,  265,  225,  200,  235, 1000,  205,  22,   0,   0,   W,   0,   X, 300,  12,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091412,   , BEST,   0, 174N, 1241E, 145,  906, XX,  34, NEQ,  265,  230,  190,  245, 1001,  215,  22,   0,   0,   W,   0,   X, 300,  14,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091418,   , BEST,   0, 180N, 1223E, 145,  906, XX,  34, NEQ,  265,  205,  235,  285, 1001,  225,  12,   0,   0,   W,   0,   X, 295,  16,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091500,   , BEST,   0, 181N, 1206E, 115,  937, XX,  34, NEQ,  300,  290,  230,  245, 1001,  225,  12,   0,   0,   W,   0,   X, 285,  16,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091506,   , BEST,   0, 185N, 1197E, 105,  946, XX,  34, NEQ,  265,  240,  225,  235, 1001,  225,  20,   0,   0,   W,   0,   X, 285,  14,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091512,   , BEST,   0, 192N, 1184E, 105,  946, XX,  34, NEQ,  245,  200,  195,  260, 1001,  225,  20,   0,   0,   W,   0,   X, 290,  13,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091606,   , BEST,   0, 216N, 1136E,  80,  962, XX,  34, NEQ,  275,  200,  165,  215,  998,  195,  15,   0,   0,   W,   0,   X, 300,  17,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091612,   , BEST,   0, 221N, 1118E,  70,  969, XX,  34, NEQ,  195,  170,  135,  185,  997,  190,  20,   0,   0,   W,   0,   X, 295,  18,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
