IO, 05, 2019103006,   , BEST,   0, 088N, 0748E,  35, 1005, XX,  34, NEQ,   55,   55,   40,   40, 1008,  170,  30,   0,   0,   A,   0,   X, 325,  12,       FIVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110312,   , BEST,   0, 177N, 0657E,  80,  979, XX,  34, NEQ,   60,   55,   55,   60, 1010,  180,   5,   0,   0,   A,   0,   X, 285,   5,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110318,   , BEST,   0, 179N, 0653E,  95,  970, XX,  34, NEQ,   65,   65,   60,   65, 1010,  150,   5,   0,   0,   A,   0,   X, 290,   4,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110400,   , BEST,   0, 181N, 0650E, 100,  965, XX,  34, NEQ,   65,   60,   55,   65, 1012,  190,   5,   0,   0,   A,   0,   X, 300,   4,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110406,   , BEST,   0, 185N, 0644E, 100,  965, XX,  34, NEQ,   65,   65,   40,   45, 1012,  190,   5,   0,   0,   A,   0,   X, 305,   5,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110412,   , BEST,   0, 189N, 0643E, 105,  959, XX,  34, NEQ,   65,   65,   40,   45, 1010,  175,  12,   0,   0,   A,   0,   X, 315,   5,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110418,   , BEST,   0, 194N, 0636E, 105,  960, XX,  34, NEQ,  100,  110,   80,   90, 1012,  180,   5,   0,   0,   A,   0,   X, 315,   6,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110500,   , BEST,   0, 196N, 0636E, 100,  963, XX,  34, NEQ,   80,   75,   55,   65, 1011,  200,   5,   0,   0,   A,   0,   X, 325,   4,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110506,   , BEST,   0, 197N, 0638E,  90,  970, XX,  34, NEQ,   80,   70,   60,   75, 1011,  170,  10,   0,   0,   A,   0,   X, 330,   3,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110512,   , BEST,   0, 198N, 0638E,  85,  974, XX,  34, NEQ,   70,   65,   55,   60, 1011,  170,  10,   0,   0,   A,   0,   X,  30,   2,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110518,   , BEST,   0, 198N, 0649E,  75,  983, XX,  34, NEQ,   45,   65,   55,   40, 1011,  170,  10,   0,   0,   A,   0,   X,  80,   5,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110600,   , BEST,   0, 198N, 0663E,  60,  991, XX,  34, NEQ,   55,   65,   60,   50, 1008,  165,  10,   0,   0,   A,   0,   X,  85,   9,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110606,   , BEST,   0, 198N, 0669E,  50,  998, XX,  34, NEQ,   55,   65,   60,   50, 1009,  165,  15,   0,   0,   A,   0,   X,  90,  10,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110612,   , BEST,   0, 198N, 0679E,  45,  997, XX,  34, NEQ,   55,   65,   60,   55, 1006,  165,  15,   0,   0,   A,   0,   X,  90,   9,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110618,   , BEST,   0, 193N, 0682E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1010,  135,  30,   0,   0,   A,   0,   X, 105,   6,       MAHA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
