SH, 15, 2019021200,   , BEST,   0, 140S, 1645E,  35,  995, XX,  34, NEQ,   55,    0,    0,  130, 1000,  220,  45,   0,   0,   P,   0,   X,  65,  12,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022018,   , BEST,   0, 221S, 1606E,  55,  976, XX,  34, NEQ,  165,  205,  185,  140,  998,  245,  35,   0,   0,   P,   0,   X, 210,   4,        OMA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022100,   , BEST,   0, 225S, 1600E,  50,  981, XX,  34, NEQ,  160,  195,  180,  135, 1000,  290,  35,   0,   0,   P,   0,   X, 225,   5,        OMA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022106,   , BEST,   0, 234S, 1598E,  45,  986, XX,  34, NEQ,  125,  170,  160,  115, 1004,  400,  35,   0,   0,   P,   0,   X, 210,   6,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022112,   , BEST,   0, 241S, 1597E,  45,  986, XX,  34, NEQ,   80,   90,  150,  130, 1004,  380,  45,   0,   0,   P,   0,   X, 200,   7,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022118,   , BEST,   0, 247S, 1592E,  40,  992, XX,  34, NEQ,   80,   90,  155,  130, 1004,  390,  45,   0,   0,   P,   0,   X, 205,   8,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022200,   , BEST,   0, 257S, 1591E,  40,  989, XX,  34, NEQ,  180,  165,  195,  110, 1004,  390,  45,   0,   0,   P,   0,   X, 195,   9,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022206,   , BEST,   0, 270S, 1594E,  35,  992, XX,  34, NEQ,  140,  170,  250,  220, 1004,  395,  45,   0,   0,   P,   0,   X, 185,  11,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022212,   , BEST,   0, 277S, 1599E,  35,  994, XX,  34, NEQ,  155,  200,  295,  220, 1003,  350,  45,   0,   0,   P,   0,   X, 170,  10,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022218,   , BEST,   0, 274S, 1609E,  35,  986, XX,  34, NEQ,  150,  240,  270,  255, 1005,  350,  45,   0,   0,   P,   0,   X, 135,   8,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022300,   , BEST,   0, 282S, 1614E,  35,  987, XX,  34, NEQ,   95,  220,  250,  240, 1005,  350,  45,   0,   0,   P,   0,   X, 125,   6,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022312,   , BEST,   0, 275S, 1620E,  35,  987, XX,  34, NEQ,  155,  240,  240,  180, 1005,  270,  45,   0,   0,   P,   0,   X,  80,   4,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022318,   , BEST,   0, 266S, 1626E,  35,  994, XX,  34, NEQ,   65,  225,  315,   80, 1005,  270,  45,   0,   0,   P,   0,   X,  35,   6,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022400,   , BEST,   0, 264S, 1635E,  40,  993, XX,  34, NEQ,    0,    0,  240,  155, 1006,  195,  45,   0,   0,   P,   0,   X,  40,   8,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022406,   , BEST,   0, 256S, 1640E,  45,  988, XX,  34, NEQ,  125,  175,  175,  125, 1005,  195, 100,   0,   0,   P,   0,   X,  45,   9,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022412,   , BEST,   0, 250S, 1648E,  45,  985, XX,  34, NEQ,  195,  215,  210,  150, 1005,  195, 100,   0,   0,   P,   0,   X,  50,   8,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022418,   , BEST,   0, 242S, 1655E,  45,  989, XX,  34, NEQ,  155,  185,  185,  135, 1005,  170, 100,   0,   0,   P,   0,   X,  40,   9,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022500,   , BEST,   0, 236S, 1663E,  45,  989, XX,  34, NEQ,  120,  105,  125,  120, 1006,  175, 100,   0,   0,   P,   0,   X,  40,   9,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022506,   , BEST,   0, 228S, 1667E,  50,  991, XX,  34, NEQ,  115,  100,  120,  120, 1006,  175,  50,   0,   0,   P,   0,   X,  40,   9,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
SH, 15, 2019022512,   , BEST,   0, 222S, 1668E,  40, 1000, XX,  34, NEQ,   65,  135,  140,  100, 1006,  175,  50,   0,   0,   P,   0,   X,  30,   8,        OMA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152019, JTWC, NCEP_TCVITALS, 
